SKU;DESCRIPCION;MARCA;COSTO;VENTA;IVA %;CATEGORIA;SUB CATEGORIA
CY-NVR716-128-IVS;NVR 128Ch 16Hdd H.265 4K;CYGNUS;5158.22;6712.38;21;GRABADORES NVR;128CH
DS-96128NI-M8;128Ch 4K 8HDD 2U NVR;HIKVISION;3997;5210;21;GRABADORES NVR;128CH
CY-NVR7116-IVS;CYGNUS NVR 16Ch 1Hdd IVS;CYGNUS;55;68;21;GRABADORES NVR;16CH
CY-NVR7216-AI;NVR Cygnus 16Ch 2HDD;CYGNUS;502.72;654.19;21;GRABADORES NVR;16CH
NVR6116-IVS;NVR 16 CH 4k 1 HDD;CYGNUS;42;54;21;GRABADORES NVR;16CH
NVR7216-IQ;16Ch  2HDD IA NVR CYGNUS;CYGNUS;198;247;21;GRABADORES NVR;16CH
IPC-2M-BWI;IPC 2MP IR 2.8mm Dome Cyg;CYGNUS;30.5;35;21;CAMARAS IP;2-3MPX
IPC-2M-BWZI-M;IPC 2MP Domo IR 40mts  VF;CYGNUS;48;59;21;CAMARAS IP;2-3MPX
IPC-2M-DWZI-M;IPC 2MP Eyeball IR40 mts;CYGNUS;59;68;21;CAMARAS IP;2-3MPX
IPC-2M-FZI10-A;2MP Bullet Camera Lighthu;CYGNUS;250;320;21;CAMARAS IP;2-3MPX
CY-NVR7232-IVS;NVR 32Ch 2HDD 4K Cygnus;CYGNUS;95;107;21;GRABADORES NVR;32CH
NVR-304-32E-B;NVR 32Ch 4HDD UNV OUTLET;UNIVIEW;95;95;21;GRABADORES NVR;32CH
NVR7232-IQ;32Ch 2HDD IA NVR CYGNUS;CYGNUS;239.4;299;21;GRABADORES NVR;32CH
NVR7432-IVS;NVR 32CH 2U 4 HDD;CYGNUS;125;149;21;GRABADORES NVR;32CH
HAC-B1A51P-0360B-S2;5MP HDCVI IR 3.6 Bullet;DAHUA;17.11;17.11;21;CAMARAS HDCVI TVI;4-6MPX
HAC-B1A51P-U-0280B-S2;5MP HDCVI IR 2.8 Bullet;DAHUA;17.11;17.11;21;CAMARAS HDCVI TVI;4-6MPX
HAC-B2A51P-0280B-S2;5MP HDCVI IR 2.8 OUTLET;DAHUA;17;17;21;CAMARAS HDCVI TVI;4-6MPX
HAC-B2A51P-U-0280B-S2;5MP HDCVI IR 2.8 OUTLET;DAHUA;17;17;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HDW1509TLQP-A-LED-0280B-S2;5MP HDCVI FullColor 2.8;DAHUA;31.86;31.86;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HDW2501TP-Z-A-27135;5MP HDCVI Mic Varifocal;DAHUA;25.96;25.96;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HFW1500CMP-0280B-S2;5MP HDCVI IR 2.8 Bullet;DAHUA;21.94;28.52;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HFW1509TLMP-A-LED-0280B-S2;5MP HDCVI FullColor Mic;DAHUA;32.82;32.82;21;CAMARAS HDCVI TVI;4-6MPX
HAC-ME1509THP-PV-0360B;5MP TIOC FullColor 3.6;DAHUA;14.16;14.16;21;CAMARAS HDCVI TVI;4-6MPX
HAC-T1A51P-0280B-S2;5MP HDCVI IR Indoor OUTLE;DAHUA;14;14;21;CAMARAS HDCVI TVI;4-6MPX
HAC-T2A51P-0280B-S2;5MP HDCVI IR 2.8 OUTLET;DAHUA;19.9;19.9;21;CAMARAS HDCVI TVI;4-6MPX
CY-IPC-4M-FW;IPC Bullet 4Mpx IR 30mt H;SMARTPIXEL;71.01;92.41;21;CAMARAS IP;4-6MPX
CY-IPC-5M-DWS-A;IPC Cygnus Domo 5Mpx H.26;CYGNUS;158.01;205.62;21;CAMARAS IP;4-6MPX
IPC-4M-BUZI-MA;4MP LightHunter Domo IK10;CYGNUS;180.18;234.23;21;CAMARAS IP;4-6MPX
IPC-5M-DUI-M;5MP 2.8 ColorHunter MIC;CYGNUS;118.3;153.79;21;CAMARAS IP;4-6MPX
IPC-5M-FUI-A;5MP 6.0 ColorHunter IK10;CYGNUS;72;86;21;CAMARAS IP;4-6MPX
CY-NVR104-4P;NVR 4Ch PoE 1HDD;CYGNUS;47;50;21;GRABADORES NVR;4CH
NVR1104HS-W-S2;NVR 4Ch WiFi OUTLET;IMOU;45;45;21;GRABADORES NVR;4CH
NVR6104-IVS;NVR 4ch 1 HDD H265;CYGNUS;19;25;21;GRABADORES NVR;4CH
CY-NVR716-64-AI;NVR 64Ch 16Hdd AI;CYGNUS;2940;2940;21;GRABADORES NVR;64CH
CY-NVR7864-AI;NVR 64Ch 8HDD AI;CYGNUS;1280;1280;21;GRABADORES NVR;64CH
NVR7864R-IQ;NVR 64CH 8HDD RAID;CYGNUS;1265;1337;21;GRABADORES NVR;64CH
CY-NVR108-8P;NVR 8Ch PoE 1HDD;CYGNUS;55;60;21;GRABADORES NVR;8CH
NVR1108HS-W-S2;NVR 8CH WiFi OUTLET;IMOU;65;65;21;GRABADORES NVR;8CH
NVR6108-IVS;NVR 8 ch 1 HDD 8 Mpx 64 m;CYGNUS;39;46;21;GRABADORES NVR;8CH
NVR7209-IQ;9Ch 1HDD IA NVR CYGNUS;CYGNUS;175;220;21;GRABADORES NVR;8CH
CY-IPC-4K-FWS;IPC Cygnus Bullet IR 4K 8;CYGNUS;170.83;222.31;21;CAMARAS IP;8Mpx/4K
CY-IPC-4K-FZPRO;IPC Bullet 4K IR 2.8-12mm;CYGNUS;115;139;21;CAMARAS IP;8Mpx/4K
CY-IPC-4K-FZS;IPC Cygnus Bullet 4K 8mpx;CYGNUS;385.03;501.05;21;CAMARAS IP;8Mpx/4K
IPC-8M-DA;8MP MIC  Eyeball;CYGNUS;45;59;21;CAMARAS IP;8Mpx/4K
IPC-8M-DA-ZERO-0280;Zero 8MP Eyeball 2.8m Mic;CYGNUS;97;126;21;CAMARAS IP;8Mpx/4K
IPC-8M-DA-ZERO-0400;Zero 8MP eyeball 4mm Mic;CYGNUS;107;142;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUA;4K HD IR Starlight  Audio;CYGNUS;83;108;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUKA;8MP Starlight+LED Eyeball;CYGNUS;121;157;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUZI-M;8MP Eyeball Starlight;CYGNUS;198.38;142;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUZKA;8MP Starlight WDR IR Audi;CYGNUS;297;386;21;CAMARAS IP;8Mpx/4K
IPC-8M-DWI;8mp 4K Eyeball Turret;CYGNUS;98.28;127.76;21;CAMARAS IP;8Mpx/4K
IPC-8M-FA;8MP 4K Mic Bullet;CYGNUS;60;75;21;CAMARAS IP;8Mpx/4K
IPC-8M-FA-ZERO-0400;Zero 8MP Bullet 4mm Mic;CYGNUS;97;127;21;CAMARAS IP;8Mpx/4K
IPC-8M-FUA;8MP Bullet 4K Mic;CYGNUS;86;112;21;CAMARAS IP;8Mpx/4K
IPC-8M-FUZI-A;IPC 2.8-12mm 8 mpx IR 40m;CYGNUS;198.38;257.89;21;CAMARAS IP;8Mpx/4K
IPC-8M-FWI;Mini Fixed Bullet Network;CYGNUS;65;75;21;CAMARAS IP;8Mpx/4K
IPC-8M-FWI-V;8MP LightHunter Disuasiv;CYGNUS;65;75;21;CAMARAS IP;8Mpx/4K
BNC-13F;BNC Hembra a tornillo;CYGNUS;0.16;0.2;21;ACCESORIOS;ACCESORIOS
BOX14-19;Caja plástica estanca IP6;VS;7.68;7.69;21;ACCESORIOS;ACCESORIOS
CY-RTCLONE;Control Remoto copiador c;CYGNUS;4.6;6;21;ACCESORIOS;ACCESORIOS
DS-1275ZJ-BJH-127mm;Soporte Montaje en Poste;HIKVISION;0;0;21;ACCESORIOS;ACCESORIOS
HS-HUB-DS11;Hub Multifunción con puer;HIKSEMI;30;35.4;21;ACCESORIOS;ACCESORIOS
HS-HUB-MHC201-2.5;CarryDisk para disco de 2;HIKSEMI;5.6;6.5;10.5;ACCESORIOS;ACCESORIOS
MC-PI5681IL;Módulo de PC desmontable;DAHUA;649;649;21;ACCESORIOS;ACCESORIOS
PKC-MS0A;Soporte c/ruedas para whi;DAHUA;171.1;171.1;21;ACCESORIOS;ACCESORIOS
PKC-MS1A;Soporte c/ruedas p/whiteb;DAHUA;171.1;171.1;21;ACCESORIOS;ACCESORIOS
PKP-IP0A;Lápiz de pizarra interact;DAHUA;35.4;35.4;21;ACCESORIOS;ACCESORIOS
PKP-WP0B;Cable inalámbrico para co;DAHUA;177;177;21;ACCESORIOS;ACCESORIOS
SSDA;Adaptador de PLA para SSD;CYGNUS;1;1.8;21;ACCESORIOS;ACCESORIOS
TRIPOD;Tripode de uso general;CYGNUS;57.27;57.33;21;ACCESORIOS;ACCESORIOS
UV200;Webcam USB con microfono;ZKTECO;19.89;25.84;21;ACCESORIOS;ACCESORIOS
ZK-IWBA01S;Soporte para pizarra inte;ZKTECO;410.38;533.46;21;ACCESORIOS;ACCESORIOS
EXP-8Z;Expansor EXP-8Z. Placa ex;GARNET;29.7;29.7;21;ALARMAS;ACCESORIOS
FRA-200;FRA-200 Fuente de suminis;GARNET;58.4;58.4;21;ALARMAS;ACCESORIOS
PGM-W;PGM-W Módulo de salida pr;GARNET;41.4;41.4;21;ALARMAS;ACCESORIOS
RX-300-KIT;Receptor inalámbrico de t;GARNET;46;46;21;ALARMAS;ACCESORIOS
BY-CO2-12G;10u CARTUCHOS CO2 12g;BYRNA;20.98;21;21;ARMAS NO LETALES;ACCESORIOS
BY-CO2-8G;GARRAFA DE Co2 BYRNA 8g.;BYRNA;34.41;40.64;21;ARMAS NO LETALES;ACCESORIOS
BY-IP683;Proyectiles Training 95u;BYRNA;28;28;21;ARMAS NO LETALES;ACCESORIOS
BY-JB68;Proyectil Pepper x 5 Unid;BYRNA;999;56;21;ARMAS NO LETALES;ACCESORIOS
BY-KIN-25;PROYECTIL KINETIC 25u;BYRNA;12.59;12.6;21;ARMAS NO LETALES;ACCESORIOS
BY-KIN-95;PROYECTILES KINETIC 95u;BYRNA;62.94;73.5;21;ARMAS NO LETALES;ACCESORIOS
BY-PEP-25;PROYECTILES PEPPER 25u;BYRNA;194.06;226.8;21;ARMAS NO LETALES;ACCESORIOS
706PA40;Llave de Corte Retractil;ALARI;10.18;12.22;21;CERCO PERIMETRAL;ACCESORIOS
70A9005-2;Aislador Roscado;ALARI;6.18;9.1;21;CERCO PERIMETRAL;ACCESORIOS
70A9007;Aislador Intermedio W x25;ALARI;3.27;3.93;21;CERCO PERIMETRAL;ACCESORIOS
70A9008;Aislador Perno Simple 25u;ALARI;3.27;3.93;21;CERCO PERIMETRAL;ACCESORIOS
70A9009-2;Aislador Doble Perno 25u;ALARI;8.73;10.47;21;CERCO PERIMETRAL;ACCESORIOS
70A9009-3;Aislador Doble Perno 25u;ALARI;4.15;4.98;21;CERCO PERIMETRAL;ACCESORIOS
70CONTROL-R;Control Remoto MJ1;ALARI;7.6;9.12;21;CERCO PERIMETRAL;ACCESORIOS
70EMPALME;Empalme Aluminio Cerco;ALARI;10.18;12.22;21;CERCO PERIMETRAL;ACCESORIOS
70FLEX-D-TEC 1;Anti Flexion Cerco;ALARI;1.23;1.47;21;CERCO PERIMETRAL;ACCESORIOS
70FLEX-D-TEC 2;Anti Flexion Cerco;ALARI;1.23;1.47;21;CERCO PERIMETRAL;ACCESORIOS
70FLEX-D-TEC 3;Anti Flexion Cerco;ALARI;1.23;1.47;21;CERCO PERIMETRAL;ACCESORIOS
70FLEX-D-TEC 4;Anti Flexion Cerco;ALARI;1.23;1.47;21;CERCO PERIMETRAL;ACCESORIOS
70FLEX-D-TEC 5;Anti Flexion Cerco;CYGNUS;1.23;1.47;21;CERCO PERIMETRAL;ACCESORIOS
70S010;Cartel Cerco Electrico;ALARI;1.4;1.55;21;CERCO PERIMETRAL;ACCESORIOS
70SR2;Resorte Inox Industrial;ALARI;87.27;104.73;21;CERCO PERIMETRAL;ACCESORIOS
70SR3;Resorte Inox Residencial;ALARI;38.4;40.95;21;CERCO PERIMETRAL;ACCESORIOS
70SR4;Resorte Zinc Residencial;ALARI;35.64;42.76;21;CERCO PERIMETRAL;ACCESORIOS
70VODIGI;Voltimetro Cerco Elec;ALARI;33.45;40.15;21;CERCO PERIMETRAL;ACCESORIOS
BackupBattery;Bateria Respaldo Zkteco;ZKTECO;1.53;1.96;21;CONTROL DE ACCESO;ACCESORIOS
Class SEOS - Essential;Tarj Seos Essentia OUTLET;HID;0;0;10.5;CONTROL DE ACCESO;ACCESORIOS
DS-K2M061;Secure Door Control Unit;HIKVISION;36.8;52;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4DC104;Automatic Door Closer;HIKVISION;18.4;24.8;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4H255-LZ;Soporte Cerradura DS;HIKVISION;6.7;9.1;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4H255S;Single Door Magnetic Lock;HIKVISION;13.5;18.3;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4H258D;Two-Door Magnetic Lock;HIKVISION;34.8;47;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4H258D-LZ;Soporte para K4H258D;HIKVISION;18.7;25.3;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4H258S;One-Door Magnetic Lock;HIKVISION;18.4;24.8;21;CONTROL DE ACCESO;ACCESORIOS
DS-K4H258-U;Accesorio U Cerradura;HIKVISION;4.2;5.7;21;CONTROL DE ACCESO;ACCESORIOS
DS-K7M101-M1;MiFare M1 Contacless Card;HIKVISION;0.2;0.3;21;CONTROL DE ACCESO;ACCESORIOS
DS-K7M102-M;M1 Non-Contacting IC Card;HIKVISION;0.5;0.6;21;CONTROL DE ACCESO;ACCESORIOS
DS-K7P01;Metal Exit Button;HIKVISION;6.5;8.7;10.5;CONTROL DE ACCESO;ACCESORIOS
DS-K7P04;Exit Button;HIKVISION;10.5;14.2;10.5;CONTROL DE ACCESO;ACCESORIOS
DS-K7P07;Touchless Exit Button;HIKVISION;7.3;9.9;21;CONTROL DE ACCESO;ACCESORIOS
DS-K7PEB-G;Emergency Break Glass;HIKVISION;8.6;11.6;10.5;CONTROL DE ACCESO;ACCESORIOS
DS-KAB6-W1;Soporte Equipos Serie DS;HIKVISION;14.4;20.5;21;CONTROL DE ACCESO;ACCESORIOS
DS-KAB6-ZU1;Soporte Molinete Hik;HIKVISION;31.9;45;21;CONTROL DE ACCESO;ACCESORIOS
DS-TMG012-4;Remote Control For DS-TMG;HIKVISION;14.8;23.3;21;CONTROL DE ACCESO;ACCESORIOS
EB103-G;Boton de salida;ZKTECO;10.03;13.01;21;CONTROL DE ACCESO;ACCESORIOS
EX-943;Infrared Sensor exit Butt;CYGNUS;36.82;47.91;10.5;CONTROL DE ACCESO;ACCESORIOS
FM11RF08-M1;M1 Card;HIKVISION;0.4;0.5;10.5;CONTROL DE ACCESO;ACCESORIOS
iClass 2K - Virg;Tarjeta MiFare 2K No Prog;HID;3.9;4.3;21;CONTROL DE ACCESO;ACCESORIOS
iClass Clamshell - Prog;Tarjeta MiFare tipo clams;HID;2.4;2.6;10.5;CONTROL DE ACCESO;ACCESORIOS
iClass Clamshell - Virg;Tarjeta MiFare tipo clams;HID;2.4;2.6;10.5;CONTROL DE ACCESO;ACCESORIOS
iClass SEOS - Prog;Tarjeta iClass SEOS - Pro;HID;3.7;4.1;10.5;CONTROL DE ACCESO;ACCESORIOS
iClass SEOS - Virg;Tarjeta iClass SEOS - No;HID;3.7;4.1;10.5;CONTROL DE ACCESO;ACCESORIOS
ISOProx II - Prog;Tarjeta RFID programada;HID;4.5;5;10.5;CONTROL DE ACCESO;ACCESORIOS
ISOProx II - Virg;Tarjeta RFID - No program;HID;4.2;4.85;10.5;CONTROL DE ACCESO;ACCESORIOS
KJZ-03;Soporte Montaje Molinete;ZKTECO;44.6;58;21;CONTROL DE ACCESO;ACCESORIOS
ProxCard II - Virg;Tarjeta RFID tipo clamshe;HID;2;2;10.5;CONTROL DE ACCESO;ACCESORIOS
Rots-1;Soporte Giratorio ZKTeco;ZKTECO;27.54;35.79;21;CONTROL DE ACCESO;ACCESORIOS
TLEB102-R;Boton de salida no touch;ZKTECO;19.81;20.61;21;CONTROL DE ACCESO;ACCESORIOS
ZM100-Bateria;Bateria ZM1000;ZKTECO;33.07;43.01;21;CONTROL DE ACCESO;ACCESORIOS
7-Display;pantalla 7 pulgadas - No;STREAMAX;119.26;130.1;21;MOVILES;ACCESORIOS
ADKIT3.0;Dash Cam Kit cAdas OUTLET;STREAMAX;240;240;21;MOVILES;ACCESORIOS
AE-IFC00;Boton de alarma con cable;HIKVISION;8.1;13;21;MOVILES;ACCESORIOS
AE-MC0708-20C01;Cable 20 Metros tipo Avia;HIKVISION;38.6;62;21;MOVILES;ACCESORIOS
AE-MP1460-GLF-WI58-S;Módulo  Wi-Fi y 4G para D;HIKVISION;186;299;21;MOVILES;ACCESORIOS
AE-MW1203;10inch,1024*600,Touch,VGA;HIKVISION;365;587;21;MOVILES;ACCESORIOS
DS-1530HMI-AE;Boton Emergencia p/Movile;HIKVISION;79;128;21;MOVILES;ACCESORIOS
DS-MP1301;HIKVISION 7 pulgadas TFT;HIKVISION;192;309;21;MOVILES;ACCESORIOS
DS-MP1420;Spare Drive Caddy Mobile;HIKVISION;108;135;21;MOVILES;ACCESORIOS
EEC400;Dahua Data Collection Sta;DAHUA;396.61;396.61;21;MOVILES;ACCESORIOS
FP-Box;Fireproof-box with 32GB S;STREAMAX;336.63;367.23;21;MOVILES;ACCESORIOS
GX4-BNC;Adaptador de conector aer;DAHUA;3.54;3.54;21;MOVILES;ACCESORIOS
HDD-BOX-MCVR62XX;Mobile Dual HDD External;DAHUA;35.4;35.4;21;MOVILES;ACCESORIOS
M869;Microfono PTT Dahua para;DAHUA;16.52;16.52;21;MOVILES;ACCESORIOS
MAE-CL301;Clip accesorio para body;DAHUA;5.9;5.9;21;MOVILES;ACCESORIOS
MAE-D100;Base para MPT300 de carga;DAHUA;11.8;11.8;21;MOVILES;ACCESORIOS
MAE-ST201;Dock base para MPT320;DAHUA;5.9;5.9;21;MOVILES;ACCESORIOS
MD02;Alarm Display;DAHUA;48.18;48.18;21;MOVILES;ACCESORIOS
MJHJ4P;Moviles SWITCH PoE 4Ch;DAHUA;23.6;23.6;10.5;MOVILES;ACCESORIOS
MY-RM6U;Teclado PTZ vehicular;DAHUA;23.6;23.6;21;MOVILES;ACCESORIOS
PANIC-BUTTON;Boton de Panico;STREAMAX;5.61;6.12;21;MOVILES;ACCESORIOS
Powerboxplus;Power box plus,with CAN b;STREAMAX;93.51;102.01;21;MOVILES;ACCESORIOS
RC978;Pulsador de alarma para X;DAHUA;2.75;2.75;21;MOVILES;ACCESORIOS
SM-AD-KIT11;Kit de IA p/DVR Streamax;STREAMAX;390.87;426.4;21;MOVILES;ACCESORIOS
SM-COMDIS-KIT-CP4;Kit panel de control con;STREAMAX;205.72;224.42;21;MOVILES;ACCESORIOS
SM-EASYCHECK;Herramienta para chequeo;STREAMAX;50.49;55.09;10.5;MOVILES;ACCESORIOS
SM-HDDREADER;Lector de discos rígidos;STREAMAX;71.55;78.06;10.5;MOVILES;ACCESORIOS
SM-SERIALCABLE;Alarm and Serial cable fo;STREAMAX;9.35;10.2;21;MOVILES;ACCESORIOS
SPEAKER;Speaker for audio MP3 Wit;STREAMAX;23.85;26.02;21;MOVILES;ACCESORIOS
A01-A02X Install Kit On-Wall;Caja de superficie  A01S;AKUVOX;10;13;21;PORTERIA;ACCESORIOS
A05-E16 On Wall Rain Cover;Cover rain superf E16/A05;AKUVOX;31;40;21;PORTERIA;ACCESORIOS
A08 On-Wall Box;Caja superficie A08;AKUVOX;20;27;21;PORTERIA;ACCESORIOS
A08X Install Kit In-Wall;Caja de empotrar para A08;AKUVOX;11;14;21;PORTERIA;ACCESORIOS
C313 table stand black;Soporte de mesa C313;AKUVOX;14;18;21;PORTERIA;ACCESORIOS
C313/C315-SP;Soporte para mesa/escrito;AKUVOX;18.41;26.33;21;PORTERIA;ACCESORIOS
C313-C315-surf mount angle box;soporte angulo  C313-C315;AKUVOX;16.5;21;21;PORTERIA;ACCESORIOS
E12X Angle Bracket;Soporte  en angulo  E12X;AKUVOX;10;14;21;PORTERIA;ACCESORIOS
E12X On-wall Rain Cover;Cover Rain para E12X;AKUVOX;31;40;21;PORTERIA;ACCESORIOS
E16 Install Kit In-Wall;Caja empotrar para E16;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
E18X Install Kit In-Wall;Caja Empotrar para E18;AKUVOX;33;43;21;PORTERIA;ACCESORIOS
E18X On-Wall Rain cover;Cover Rain Superficie E18;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
E20S-INWALL;Caja Empotrable E20S;AKUVOX;22;28.3;21;PORTERIA;ACCESORIOS
E21-BOX;Wall Box for E21;AKUVOX;34.53;49.37;21;PORTERIA;ACCESORIOS
MD12-06-INWALL;Caja empotrable para MD06;AKUVOX;58;75;21;PORTERIA;ACCESORIOS
R20A In-wall Rain Cover;Carcasa Proteccion R20A;AKUVOX;46.04;65.83;21;PORTERIA;ACCESORIOS
R20A On-wall Rain Cover;Carcasa Protección R20A;AKUVOX;46.04;65.83;21;PORTERIA;ACCESORIOS
R20K-R20B Install Kit In-Wall V2;Caja de empotrar R20 V3;AKUVOX;31;41;21;PORTERIA;ACCESORIOS
R20K-R20B On-Wall Rain Cover;Rain cover R20K-R20B V3;AKUVOX;31;40;21;PORTERIA;ACCESORIOS
R20K-R20B Rotatable Bracket;Soporte Rotable R20K-R20B;AKUVOX;30;39;21;PORTERIA;ACCESORIOS
R20K-R20B-In Wall;In Wall Kit for R20K /  R;AKUVOX;34.5;44.6;21;PORTERIA;ACCESORIOS
R20X-BOX-KIT;In wall Installation R20A;AKUVOX;34.53;49.37;21;PORTERIA;ACCESORIOS
R27-R28 on Wall;R27X-R28X kit Instalacion;AKUVOX;34.53;49.37;21;PORTERIA;ACCESORIOS
R27X-R28X-ONWALL;Caja Superficie R27X/R28X;AKUVOX;35;45;21;PORTERIA;ACCESORIOS
R29 On-Wall;Caja Superficie R29;AKUVOX;32;42;21;PORTERIA;ACCESORIOS
R29B On-wall Rain Cover;Cover Rain Superficie R29;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
R29C-L ON WALL;Caja Superficie R29LTE;AKUVOX;34.8;45;21;PORTERIA;ACCESORIOS
R29S In-Wall;Soporte Empotrable R29S;AKUVOX;46.04;65.83;21;PORTERIA;ACCESORIOS
R29S Rain Hold;Carcasa proteccion R29S;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
R29X-ONWALL;Mount Wall R29;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
S532 In-Wall Box;Caja empotrar para S532;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
S532-ONWALL;Caja de superficie;AKUVOX;31;41;21;PORTERIA;ACCESORIOS
S535 In-Wall Box;S535 In-Wall Box;AKUVOX;0;0;21;PORTERIA;ACCESORIOS
S535 In-Wall Box+Module;Box In Wall  S535 Modulo;AKUVOX;0;0;10.5;PORTERIA;ACCESORIOS
S535 On-Wall Box;S535 On-Wall Box;AKUVOX;0;0;21;PORTERIA;ACCESORIOS
S535 On-Wall Box+Module;Box On Wall S535 Modulo;AKUVOX;0;0;21;PORTERIA;ACCESORIOS
S539 In-Wall Box;Caja empotrar para S539;AKUVOX;33;42;21;PORTERIA;ACCESORIOS
S539 In-Wall Rain Cover;Rain Cover empotrar S539;AKUVOX;30.5;39;21;PORTERIA;ACCESORIOS
S539- On Wall;Soporte de aplicar pared;AKUVOX;32;40.5;21;PORTERIA;ACCESORIOS
S539 On-Wall Rain Cover;Rain cover superficie S53;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
S563-desktop-bracket;Soporte de mesa para S563;AKUVOX;16;21;21;PORTERIA;ACCESORIOS
S567 Table Stand;Soporte de mesa S567;AKUVOX;16.2;21;21;PORTERIA;ACCESORIOS
X912 In-Wall Box;caja empotrar para X912;AKUVOX;30.7;40;21;PORTERIA;ACCESORIOS
X912X In-Wall Rain cover;Cover Rain empotrar X912;AKUVOX;30;39;21;PORTERIA;ACCESORIOS
X912X On-Wall Rain cover;Cover Rain superf X912;AKUVOX;32;41;21;PORTERIA;ACCESORIOS
X915X Install Kit In-Wall;Caja empotrar para X915;AKUVOX;30.75;39;21;PORTERIA;ACCESORIOS
X915X In-wall Rain Cover;Cover Rain empotrar X915;AKUVOX;30;39;21;PORTERIA;ACCESORIOS
X915X On-Wall Box;Caja Superficie X915;AKUVOX;31;40;21;PORTERIA;ACCESORIOS
X915X On-wall Rain Cover;Rain cover superf  X915;AKUVOX;30.7;40;21;PORTERIA;ACCESORIOS
X916S-ONWALL;Caja Superficie X916S;AKUVOX;51;66.5;21;PORTERIA;ACCESORIOS
4D-LIDAR-L1;Bionic 4D laser rada;UNITREE;982.53;1071.85;21;ROBOTICA;ACCESORIOS
4D-LIDAR-L2;Bionic Lidar Radar;UNITREE;632;692;21;ROBOTICA;ACCESORIOS
BT2-06-Go2-LBAT;Long range battery p/Go2;UNITREE;899;899;21;ROBOTICA;ACCESORIOS
D435i;Depth Camera;INTEL;1120;1120;21;ROBOTICA;ACCESORIOS
G1-Prot-Frame;G1 Protection Frame;UNITREE;700;700;21;ROBOTICA;ACCESORIOS
GX16-100T;Orin Expansion Dock 100To;UNITREE;3950;3950;21;ROBOTICA;ACCESORIOS
H1-Hands;Hand for H1 Robot;UNITREE;0;0;21;ROBOTICA;ACCESORIOS
NX16G-40;Orin expansion dock 40Top;UNITREE;1950;1950;21;ROBOTICA;ACCESORIOS
R1 Battery;Bateria Humanoide R1;UNITREE;899;899;21;ROBOTICA;ACCESORIOS
RH56DFTP-2L;G1 LEFT hand tactil sens;UNITREE;11200;11200;21;ROBOTICA;ACCESORIOS
RH56DFTP-2R;G1 RIGHT hand tactil sens;UNITREE;11200;11200;21;ROBOTICA;ACCESORIOS
SV1-25;Stereo Binocular Camera;UNITREE;750;750;21;ROBOTICA;ACCESORIOS
PCI-10G;Modulo PCIe DualFiber;VS;120;120;21;STORAGE;ACCESORIOS
CY-EPOC;Extensor PoE/Ethernet;CYGNUS;189.75;246.93;21;SWITCH;ACCESORIOS
CY-EXT;Extensor PoE/Ethernet;CYGNUS;37;48;21;SWITCH;ACCESORIOS
CY-POEF;Detector de PoE;CYGNUS;11.42;14.88;21;SWITCH;ACCESORIOS
CY-POE-I30;Inyector PoE 30W 54V Giga;CYGNUS;14;17;10.5;SWITCH;ACCESORIOS
CY-POE-I60-S2;Inyector Poe 60W 2.5 Giga;CYGNUS;21;25;21;SWITCH;ACCESORIOS
CY-POE-I95-S2;Inyector POE 90W Gigabit;CYGNUS;34;42;10.5;SWITCH;ACCESORIOS
CY-POE-USBC;Docking Red PoE a USB-C;CYGNUS;0;0;21;SWITCH;ACCESORIOS
CY-PoEx2-S2;POE Extension 1 a 2;CYGNUS;23;23;21;SWITCH;ACCESORIOS
CY-SURGE;Protector contra Descarga;CYGNUS;31.91;41.53;21;SWITCH;ACCESORIOS
A212;IP Wall-mounted Speaker;FANVIL;152;197;21;TELEFONIA IP;ACCESORIOS
A233;IP-SIP Horn Speaker;FANVIL;149;195;21;TELEFONIA IP;ACCESORIOS
CL-01;Corridor Light Fanvil;FANVIL;12.5;16.3;21;TELEFONIA IP;ACCESORIOS
CM60;Cámara USB 1080P para X7A;FANVIL;68;81;21;TELEFONIA IP;ACCESORIOS
CMD-01;Corridor Display;FANVIL;235;305;21;TELEFONIA IP;ACCESORIOS
CS20;Portable Speaker Fanvil;FANVIL;32.5;42;21;TELEFONIA IP;ACCESORIOS
